,Unnamed: 0,agent0_angle,time,frames,agent1_angle,agent1_x,agent0_y,agent0_x,agent1_y,agent0_vx,agent0_vy,agent0_speed,agent0/agent1_dist,agent1_vx,agent1_vy,agent1_speed
484,484,212.496,Wed Mar 01 12:17:37 2017,485,292.231,55.6573,61.7824,45.7192,58.2317,-4.2264179687500345,1.2084582031249755,,10.553355016296951,0.014866796874965352,-1.8827736328125262,
485,485,227.0,Wed Mar 01 12:17:37 2017,486,293.969,55.6573,61.7911,45.4188,58.2317,-4.204117773437473,2.2905486328124813,,10.839566901403398,0.0,0.0,
486,486,229.106,Wed Mar 01 12:17:37 2017,487,293.969,55.6573,61.9981,45.3233,58.2317,-0.9705894531250017,4.369776367187464,,10.998969268072347,0.0,0.0,
487,487,212.498,Wed Mar 01 12:17:37 2017,488,294.502,55.6573,62.2026,45.3274,58.2317,-1.0268708984375592,2.202409765624998,,11.066836983528765,0.03185742187500121,-3.766609179687437,
488,488,200.396,Wed Mar 01 12:17:37 2017,489,292.9790000000001,55.6603,62.2055,45.2266,57.877,-1.0566044921874898,1.1065144531250621,,11.295928821482544,0.03185742187500121,-3.766609179687437,
489,489,173.035,Wed Mar 01 12:17:37 2017,490,290.46,55.6603,62.3068,45.2279,57.877,1.1043906249999915,2.122766210937495,,11.333935671248536,0.0,0.0,
490,490,163.882,Wed Mar 01 12:17:37 2017,491,290.46,55.6603,62.4054,45.3306,57.877,0.0,-0.008495312500055655,,11.2787015498239,0.0,0.0,
491,491,154.691,Wed Mar 01 12:17:37 2017,492,291.018,55.6603,62.306,45.2279,57.877,-3.2207853515625016,-0.9981992187500127,,11.333623020023207,0.03185742187500121,-3.7676710937500473,
492,492,142.009,Wed Mar 01 12:17:37 2017,493,293.639,55.6633,62.3114,45.0273,57.5222,-5.377532812499993,-2.0144509765624456,,11.664515962524982,0.03185742187500121,-3.7676710937500473,
493,493,140.174,Wed Mar 01 12:17:37 2017,494,295.901,55.6633,62.1163,44.7215,57.5222,-5.434876171874935,-4.1743841796874674,,11.86712863543663,0.0,0.0,
494,494,148.264,Wed Mar 01 12:17:38 2017,495,295.901,55.6633,61.9183,44.5155,57.5222,-3.3057384765624542,-4.227479882812495,,11.98328586198293,0.015928710937500604,-1.8838355468749859,
495,495,173.019,Wed Mar 01 12:17:38 2017,496,296.585,55.6648,61.7182,44.4102,57.3448,-1.139433789062523,-3.203794726562541,,12.074462667961665,0.015928710937500604,-1.8838355468749859,
496,496,187.49400000000003,Wed Mar 01 12:17:38 2017,497,288.9240000000001,55.6648,61.6166,44.4082,57.3448,-1.0767808593750559,-1.0449234375000547,,12.039905265408029,1.9029500000000168,-1.8689687500000207,
497,497,212.484,Wed Mar 01 12:17:38 2017,498,277.032,55.844,61.6198,44.3088,57.1688,-2.11639472656251,0.06265292968754262,,12.36415140800209,1.9029500000000168,-1.8689687500000207,
498,498,226.995,Wed Mar 01 12:17:38 2017,499,277.032,55.844,61.6225,44.2089,57.1688,-2.122766210937495,0.05203378906249191,,12.458370507413884,0.04672421874996656,-5.651506640624958,
499,499,245.238,Wed Mar 01 12:17:38 2017,500,266.837,55.8484,61.6247,44.1089,56.6366,-1.113947851562507,-2.148252148437511,,12.755273492167856,-1.7935728515625078,-11.318941992187492,
500,500,250.473,Wed Mar 01 12:17:38 2017,501,271.1,55.6751,61.4202,44.104,56.1029,1.0151898437500486,-2.201347851562463,,12.734364314719446,-1.808439648437473,-9.436168359374891,
501,501,247.802,Wed Mar 01 12:17:38 2017,502,271.728,55.6781,61.4174,44.2045,55.74800000000001,3.1453894531249884,-2.25444355468749,,12.797874562598269,0.03185742187500121,-3.768733007812356,
502,502,226.99400000000003,Wed Mar 01 12:17:38 2017,503,271.728,55.6781,61.2079,44.4002,55.74800000000001,1.0311185546874737,-1.105452539062527,,12.530025395824222,0.04778613281250181,-5.653630468750104,
503,503,214.925,Wed Mar 01 12:17:38 2017,504,268.11400000000003,55.6826,61.3133,44.3016,55.2156,-2.0994041015624743,2.234267187499999,,12.911588062279558,0.07858164062496777,-9.42236347656261,
504,504,193.166,Wed Mar 01 12:17:38 2017,505,266.611,55.6855,61.4183,44.2025,54.8607,-2.1206423828125,1.1426195312500533,,13.223517185680969,0.04672421874996656,-5.653630468750029,
505,505,181.687,Wed Mar 01 12:17:38 2017,506,269.146,55.687,61.4209,44.1019,54.6832,-3.18149453124998,1.1691673828124538,,13.4019081962234,0.015928710937500604,-1.8848974609375213,
506,506,166.695,Wed Mar 01 12:17:38 2017,507,269.146,55.687,61.5284,43.9029,54.6832,-4.249780078124981,1.2020867187499904,,13.627977687463385,-1.856225781249975,-3.784661718750008,
507,507,161.125,Wed Mar 01 12:17:38 2017,508,271.402,55.5122,61.5341,43.7017,54.3268,-4.297566210937558,-0.9599703124999509,,13.835934501868675,-1.8243683593749738,-7.5544566406249745,
508,508,163.86700000000005,Wed Mar 01 12:17:38 2017,509,273.608,55.5152,61.438,43.4982,53.9718,-3.2547666015624976,-2.070732421875003,,14.147523862499758,0.06265292968746716,-7.540651757812469,
509,509,173.01,Wed Mar 01 12:17:38 2017,510,273.189,55.5181,61.3391,43.3952,53.6167,-4.290132812499961,-0.9482892578125158,,14.373592667457912,0.03079550781246596,-3.770856835937502,
510,510,196.633,Wed Mar 01 12:17:38 2017,511,273.189,55.5181,61.3487,43.0942,53.6167,-4.2869470703125065,-0.9514750000000461,,14.633424589275057,0.015928710937500604,-1.8848974609375213,
511,511,205.93400000000003,Wed Mar 01 12:17:38 2017,512,273.433,55.5196,61.2495,42.9915,53.4392,-2.1248900390624903,0.06159101562500737,,14.763267785283848,-1.841358984374934,-5.670621093749989,
512,512,222.92,Wed Mar 01 12:17:38 2017,513,272.67400000000004,55.3447,61.3545,42.8941,53.0827,-2.1280757812500206,0.059467187500012314,,14.947913419604758,-1.8572876953124346,-3.7857236328124677,
513,513,226.989,Wed Mar 01 12:17:38 2017,514,271.446,55.3447,61.2551,42.7911,53.0827,1.013066015624978,-2.2013478515625384,,14.979352279721578,0.0,0.0,
514,514,216.52,Wed Mar 01 12:17:38 2017,515,271.446,55.3447,61.1472,42.9895,53.0827,2.1280757812500206,-0.059467187500012314,,14.75422404906473,0.03185742187500121,-3.7719187500000375,
515,515,205.93400000000003,Wed Mar 01 12:17:39 2017,516,272.942,55.3477,61.2495,42.9915,52.7275,2.173738085937527,2.1036517578125395,,15.010002079946558,0.06265292968746716,-7.54277558593754,
516,516,178.775,Wed Mar 01 12:17:39 2017,517,272.483,55.3506,61.3453,43.1942,52.3724,1.0810285156249706,1.0396138671875295,,15.109301617546723,0.03079550781246596,-3.770856835937502,
517,517,161.126,Wed Mar 01 12:17:39 2017,518,274.433,55.3506,61.3474,43.0933,52.3724,-1.0704093749999954,0.015928710937500604,,15.191840845993617,0.0,0.0,
518,518,148.274,Wed Mar 01 12:17:39 2017,519,274.433,55.3506,61.3468,43.0934,52.3724,-1.05554257812503,0.019114453125030906,,15.19140570190922,-1.8572876953125101,-3.7867855468750027,
519,519,121.536,Wed Mar 01 12:17:39 2017,520,275.046,55.1757,61.3492,42.9939,52.0158,-3.2144138671875164,-0.9960753906250177,,15.346289675358019,-1.8413589843750096,-5.672744921874984,
520,520,109.59,Wed Mar 01 12:17:39 2017,521,276.97,55.1772,61.253,42.7907,51.8382,-2.206657421874988,-3.1931755859375657,,15.558400987569383,0.03185742187500121,-3.771918749999962,
521,521,97.0214,Wed Mar 01 12:17:39 2017,522,275.888,55.1787,61.0485,42.7861,51.6606,-0.14972988281249058,-6.510595117187531,,15.546999748182925,0.015928710937500604,-1.885959374999981,
522,522,80.2727,Wed Mar 01 12:17:39 2017,523,275.888,55.1787,60.6399,42.7766,51.6606,-0.18052539062495654,-7.594809374999956,,15.311430792058587,0.015928710937500604,-1.8870212890625162,
523,523,74.1583,Wed Mar 01 12:17:39 2017,524,272.007,55.1802,60.3333,42.7691,51.4829,3.8802339843750113,-16.425686718749976,,15.243522669317612,0.030795507812541412,-3.7729806640624974,
524,524,79.7021,Wed Mar 01 12:17:39 2017,525,270.203,55.1816,59.0931,43.142,51.3053,4.948519531250012,-16.468163281250025,,14.338821325339122,0.030795507812541412,-3.7719187500000375,
525,525,88.5725,Wed Mar 01 12:17:39 2017,526,269.34,55.1831,58.7825,43.2351,51.1277,0.8813886718749832,-7.652152734374973,,14.189808562485965,0.015928710937500604,-1.8859593750000565,
526,526,94.2004,Wed Mar 01 12:17:39 2017,527,269.34,55.1831,58.3725,43.225,51.1277,-1.31783535156256,-9.771733203125013,,13.981533630113692,-1.8732164062500107,-1.9018880859374816,
527,527,113.897,Wed Mar 01 12:17:39 2017,528,272.132,55.0067,57.8623,43.111,50.9486,-1.292349414062544,-8.679023632812532,,13.758885353835902,-1.8572876953125101,-3.7878474609374626,
528,528,122.997,Wed Mar 01 12:17:39 2017,529,273.633,55.0082,57.5552,43.1033,50.771,-4.529063476562471,-9.679346679687464,,13.702263084979798,0.03185742187500121,-3.7729806640624974,
529,529,135.97299999999998,Wed Mar 01 12:17:39 2017,530,273.47,55.0097,56.9508,42.6845,50.5933,-8.811762890624987,-9.574217187500022,,13.868250116362917,0.015928710937500604,-1.8870212890625162,
530,530,133.998,Wed Mar 01 12:17:39 2017,531,273.47,55.0097,56.6536,42.2735,50.5933,-12.134491992187478,-13.862226171874989,,14.104539217216564,0.014866796874965352,-1.8870212890625162,
531,531,131.882,Wed Mar 01 12:17:39 2017,532,273.841,55.0111,55.6454,41.5418,50.4156,-12.139801562500002,-13.868597656249973,,14.448974030359386,0.014866796874965352,-1.8870212890625162,
