,agent0_x,time,agent1_x,agent0_y,agent1_angle,agent0_angle,agent1_y
330,Attraction,follows,26.0591,22.1448,174.38299999999998,3.04355,1
331,Attraction,follows,26.0591,22.1448,174.38299999999998,3.04355,1
332,Attraction,follows,26.0591,22.1448,174.38299999999998,3.04355,1
333,Attraction,follows,26.0593,22.145,180.514,3.15057,1
334,Attraction,follows,26.0593,22.145,180.514,3.15057,1
335,Attraction,follows,25.8512,22.1466,174.38299999999998,3.04356,1
336,Attraction,follows,25.8479,22.0402,171.368,2.99094,1
337,Attraction,follows,25.9551,22.1452,161.814,2.82419,1
338,Attraction,follows,26.1695,22.3553,148.28,2.58797,1
339,Attraction,follows,26.1727,22.4614,145.80700000000002,2.54481,1
340,Attraction,follows,26.2735,22.354,141.709,2.47329,1
341,Attraction,follows,26.276999999999997,22.4599,131.498,2.29507,1
342,Attraction,follows,26.2806,22.5661,125.26100000000001,2.18622,1
343,Attraction,follows,26.2809,22.5663,120.258,2.0989,1
344,Attraction,follows,26.2809,22.5663,120.258,2.0989,1
345,Attraction,follows,26.2806,22.5661,125.26100000000001,2.18622,1
346,Attraction,follows,26.276999999999997,22.4599,131.498,2.29507,1
347,Attraction,follows,26.1727,22.4614,145.80700000000002,2.54481,1
348,Attraction,follows,26.0622,22.2501,152.356,2.6591099999999996,1
349,Attraction,follows,26.1661,22.2494,158.99,2.7749,1
350,Attraction,follows,26.0589,22.1445,168.415,2.9394,1
351,Attraction,follows,26.0591,22.1448,174.38299999999998,3.04355,1
352,Attraction,follows,26.0624,22.2512,177.43900000000002,3.0969,1
353,Attraction,follows,26.0593,22.145,180.514,3.15057,1
354,Attraction,follows,26.163,22.1441,180.514,3.15057,1
355,Attraction,follows,26.1662,22.2497,164.74599999999998,2.87535,1
356,Attraction,follows,26.1661,22.2494,158.99,2.7749,1
357,Attraction,follows,26.2701,22.2482,152.35299999999998,2.65905,1
358,Attraction,follows,26.2704,22.2479,144.076,2.5146,1
359,Attraction,follows,26.2735,22.354,141.709,2.47329,1
360,Attraction,follows,26.1665,22.2486,137.565,2.40096,1
361,Attraction,follows,26.0625,22.2498,144.08,2.51468,1
362,Attraction,follows,25.9552,22.1446,148.278,2.58793,1
363,Attraction,follows,25.9552,22.1446,148.278,2.58793,1
364,Attraction,follows,25.9552,22.1446,148.278,2.58793,1
365,Attraction,follows,25.951999999999998,22.0385,150.9,2.6337,1
366,Attraction,follows,25.951999999999998,22.0385,150.9,2.6337,1
367,Attraction,follows,25.9517,22.0387,158.986,2.77482,1
368,Attraction,follows,25.8445,21.9337,168.41,2.9393,1
369,Attraction,follows,25.9486,21.9333,180.50799999999998,3.15046,1
370,Attraction,follows,25.8452,21.9346,192.717,3.36354,1
371,Attraction,follows,25.9462,21.8274,196.46200000000002,3.4289199999999997,1
372,Attraction,follows,25.9465,21.8275,207.856,3.6277699999999995,1
373,Attraction,follows,26.0474,21.7203,211.877,3.6979599999999997,1
374,Attraction,follows,25.9436,21.7211,213.463,3.7256400000000003,1
375,Attraction,follows,26.0478,21.7201,220.30700000000002,3.8450900000000003,1
376,Attraction,follows,26.0478,21.7201,220.30700000000002,3.8450900000000003,1
377,Attraction,follows,26.0447,21.6138,222.61900000000003,3.88544,1
378,Attraction,follows,26.1487,21.6128,224.632,3.92056,1
379,Attraction,follows,26.1487,21.6128,224.632,3.92056,1
380,Attraction,follows,26.1487,21.6128,224.632,3.92056,1
381,Attraction,follows,26.1487,21.6128,224.632,3.92056,1
382,Attraction,follows,26.1487,21.6128,224.632,3.92056,1
